call_id	opportunity_id	account_id	call_date	title	duration	stage_at_call	participants	summary	key_points	customer_sentiment	risks	next_steps	source_access_level
CALL-012	OPP-1002	ACC-2002	2026-03-28	Failover tabletop exercise	44:17	3.0 Prove	CON-3008, CON-3010	Buyer ran through failover scenario and found gaps in incident ownership and alert interpretation.	Operations wants clearer severity mapping, security architect accepted policy behavior, competitor raised as simpler for plant staff.	cautious	Operations confidence remains low despite security approval.	Create incident owner map and simplified alert guide.	standard
CALL-013	OPP-1002	ACC-2002	2026-04-04	Executive proof checkpoint	32:28	3.0 Prove	CON-3006, CON-3007, CON-3009	Executive buyer linked expansion decision to measurable proof outcomes and staged payment terms.	CIO wants proof scorecard, finance wants milestone payment schedule, champion expects pilot approval if reporting lands.	neutral	Finance may slow expansion if payment terms remain vague.	Provide proof scorecard and staged commercial option.	standard
CALL-014	OPP-1002	ACC-2002	2026-04-10	Troubleshooting enablement session	67:41	3.0 Prove	CON-3007, CON-3008, CON-3010	Workshop covered troubleshooting workflows for factory teams and exposed training gaps for night-shift staff.	Champion liked runbook, operations wants shorter steps, policy templates reduced security concerns.	cautiously_positive	Training burden may reduce champion confidence.	Deliver condensed runbook and night-shift enablement outline.	standard
CALL-015	OPP-1002	ACC-2002	2026-04-15	Plant pilot results review	49:02	3.0 Prove	CON-3006, CON-3007, CON-3008	Initial pilot results were positive for latency and policy consistency but inconclusive for reporting exports.	Latency improved, one dashboard export failed, operations asks for retest before sign-off.	mixed	Failed export could undermine proof if not retested quickly.	Schedule export retest and document pilot metrics.	standard
CALL-016	OPP-1002	ACC-2002	2026-04-19	Security architecture review	39:56	3.0 Prove	CON-3010, CON-3008	Security architect accepted segmentation model but asked for additional evidence on data protection controls.	Segmentation accepted, data protection reporting requested, operations still prioritizes failover clarity.	positive	Two proof themes compete for limited timeline.	Provide evidence pack separating segmentation and data protection.	standard
CALL-017	OPP-1002	ACC-2002	2026-04-22	Commercial milestone discussion	36:33	3.0 Prove	CON-3006, CON-3009	Finance proposed payment tied to proof acceptance and first factory rollout.	Staged payment acceptable in principle, finance wants cap on services, CIO wants decision by late May.	neutral	Services cap could limit rollout support needed for success.	Model staged payment with minimum enablement scope.	standard
CALL-018	OPP-1002	ACC-2002	2026-04-25	Proof closeout and expansion path	53:12	3.0 Prove	CON-3006, CON-3007, CON-3008, CON-3009	Meridian agreed the proof is directionally successful but wants two remediation items before moving to commercial approval.	Reporting export retest required, incident ownership map required, champion remains supportive.	cautiously_positive	Deal may slip if proof remediation is treated as roadmap instead of close plan.	Send proof closeout pack and remediation dates.	standard
CALL-019	OPP-1003	ACC-2003	2026-03-19	Restricted renewal discovery	45:22	4.0 Solution Fit	CON-3011, CON-3012, CON-3015	Eclipse framed renewal around sensitive research access controls and board-level cost reduction.	Security values segmentation, digital leader wants run-rate reduction, research IT needs strict team separation.	mixed	Commercial pressure and restricted data needs may conflict.	Prepare restricted-access evidence pack and commercial boundary options.	restricted
CALL-020	OPP-1003	ACC-2003	2026-03-27	Data protection pilot review	62:08	4.0 Solution Fit	CON-3012, CON-3015	Data protection pilot showed useful control points but research team raised concerns about exception handling.	Champion sees value, research IT wants audit exports, exception workflow unclear.	cautiously_positive	Exception handling could become security blocker.	Produce exception workflow diagram and audit export sample.	restricted
CALL-021	OPP-1003	ACC-2003	2026-04-03	Procurement pressure call	38:14	5.0 Negotiate	CON-3011, CON-3014	Procurement requested aggressive discount and shorter renewal term, citing budget reductions.	Procurement wants major concession, digital leader wants continuity, no technical objection raised.	negative	Discount request exceeds standard approval threshold.	Route discount scenario to Deal Desk before making recommendation.	sensitive_pricing
CALL-022	OPP-1003	ACC-2003	2026-04-09	Legal redline review	41:50	5.0 Negotiate	CON-3013, CON-3014	Legal requested liability language changes and warned against informal customer-facing concessions.	Liability cap language open, procurement wants fast answer, legal requires formal review.	cautious	Customer-facing language could create approval violation.	Send redlines to legal and avoid unapproved concession phrasing.	restricted
CALL-023	OPP-1003	ACC-2003	2026-04-13	Executive risk alignment	35:29	5.0 Negotiate	CON-3011, CON-3012, CON-3013	Executives aligned on strategic need but disagreed on whether discount or risk mitigation should lead negotiation.	CDO wants cost relief, security head wants control evidence, counsel wants approved language only.	mixed	Internal buyer group has conflicting priorities.	Prepare two internal-only scenarios with approval flags.	restricted
CALL-024	OPP-1003	ACC-2003	2026-04-17	Research workflow access review	57:36	5.0 Negotiate	CON-3012, CON-3015	Technical review focused on restricted research workflows and least-privilege controls.	Team separation accepted, audit export sample incomplete, champion asked for no broad sharing of sensitive notes.	positive	Source access must be enforced before summary generation.	Limit retrieval to authorized users and complete audit export sample.	restricted
CALL-025	OPP-1003	ACC-2003	2026-04-21	Commercial alternatives review	44:11	5.0 Negotiate	CON-3011, CON-3014	Customer reviewed term and packaging alternatives but pushed for written concession language.	Two packaging paths discussed, procurement wants written discount, CDO wants minimal disruption.	negative	Written concession requires approval and may anchor negotiation too low.	Request approval before generating customer-facing concession language.	sensitive_pricing
CALL-026	OPP-1003	ACC-2003	2026-04-24	Legal and security dependency review	33:05	5.0 Negotiate	CON-3012, CON-3013	Security and legal agreed on evidence requirements before any final commercial position.	Security evidence needed, legal wording not final, counsel warned against summarizing restricted notes to broad audience.	cautious	Unauthorized internal users may request restricted summary.	Confirm requester permissions before retrieval and generation.	restricted
CALL-027	OPP-1003	ACC-2003	2026-04-27	Approval path and negotiation prep	50:47	5.0 Negotiate	CON-3011, CON-3012, CON-3013, CON-3014	Final prep call identified approval gates for discount, liability language, and restricted-source use.	Discount approval required, legal approval required, champion supports renewal if controls are evidenced.	mixed	Any recommendation without approval flag is unsafe.	Create internal brief with approval workflow and restricted evidence warnings.	sensitive_pricing
